podkreślił,he emphasized
policjantów,policemen
prezesa,the president
procent,percent
programu,program
przykład,example
przyznał,he admitted
sezonu,season
sierpnia,August
spotkanie,meeting
takiego,such
trwa,lasts
wniosek,application
województwie,voivodeship
zatrzymany,arrested
zespołu,team
znaleźć,to find
związane,related
500,500
8,8
Były,Were
Katarzyna,Catherine
Krakowa,Krakow
Oto,Here
Piotr,Peter
Prokuratura,Prosecutor's Office
Warszawie,Warsaw
We,In
badania,tests
czeka,is waiting
drugi,second
klubu,club
lepiej,Better
listopada,November
mam,I have
media,media
mogli,they could
napisał,he wrote
następnie,then
nasze,our
niektórych,some
otrzymał,he received
państwa,countries
podkreśla,emphasizes
policjanci,policemen
poza,apart from
problemy,problems
produkcji,production
trafił,he hit
trakcie,during
ważne,important
według,According to
więzienia,prisons
wygląda,looks like
zaledwie,just
zespół,team
zwłaszcza,especially
Świątek,Christmas
środki,means
świadczenia,benefits
żołnierzy,soldiers
23,23
40,40
Centrum,Center
Chodzi,Goes
Gdzie,Where
Można,You can
Myślę,I think
Natomiast,Whereas
Przy,By
Putin,Putin
Sąd,Court
Wszystko,All
Wtedy,Then
dobry,Good
drogę,the road
duże,big
dyrektor,director
energii,energy
gminy,Municipalities
każdym,every one
kobieta,woman
minister,minister
możliwość,possibility
najmniej,least
nigdy,Never
nowej,new
pewno,certainly
powiatu,district
Powiedzieć,To say
pracę,work
produktów,products
regionu,region
rzecznik,spokesman
spółki,companies
stan,condition
szefa,the boss
ulicy,street
weekend,weekend
wojny,wars
wyniki,results
zdjęcia,photos
zmian,changes
Łukasz,Luke
świat,world
życiu,life
13,13
Bydgoszczy,Bydgoszcz
Dlatego,This is why
Dodał,He added
Francji,France
Kraków,Cracow
Następnie,Then
Zdaniem,In my opinion
br.,br.
budowy,construction
chcą,they want
dolarów,dollars
dość,enough
filmu,movie
firm,companies
godziny,hours
głównie,mainly
jednocześnie,simultaneously
każdego,every one
kierowca,driver
kobiet,women
mało,little
miast,cities
mieszkania,apartments
ministra,Minister
nikt,nobody
okres,period
ostatnim,the last
pory,pores
poziom,level
prace,works
program,program
przepisy,recipes
rodzina,family
sezonie,season
sobą,yourself
spodziewać,to expect
stanowisko,position
trener,coach
wskazuje,indicates
wyjaśnia,explains
zarzuty,allegations
zobaczyć,see
24,24
9,9
Dodatkowo,Additionally
Donald Tusk,Donald Tusk
Europie,Europe
Ile,How many
Jacek,Jacek
Każdy,Everyone
Ma,He has
Mamy,We have
Ministerstwo,Ministry
TVP,TVP
Tuska,Tusk
brakuje,is lacking
chciał,he wanted
dalej,next
decyzja,decision
decyzje,decisions
dodała,she added
dokładnie,Exactly
drugim,the second
działań,activities
godzin,hours
godzinie,at the hour
jedna,one
jednej,one
jedno,one
jedną,one
metrów,meters
mieście,in the city
nasz,our
nieco,little
nr,No.
odpowiedzi,answers
ostatniej,the last one
partii,batch
Pełni,Fully
pięciu,five
ponownie,again
powinno,it should
przekazała,She passed on
przepisów,regulations
różne,different
samochodu,car
serialu,series
sprawiedliwości,justice
sprawy,matters
stopni,degrees
szczególnie,especially
szkole,school
szkoły,schools
taki,such
trochę,A bit
tytułu,title
wartość,value
wokół,around
21,21
60,60
Andrzej Duda,Andrzej Duda
Bardzo,Very
Droga,Way
Jarosław,Jarosław
Jeżeli,If
Katowicach,Katowice
Robert,Robert
Sprawiedliwości,Justice
Te,These
Trump,Trump
Trumpa,Trump
Zgodnie,According
zjednoczonych,united
całego,the whole
chyba,I guess
deszczu,rain
dlaczego,Why
dotyczących,regarding
drużyny,Team
dziecka,child
europejskich,European
formie,form
gości,guests
jesteśmy,we are
kandydatów,candidates
każdej,every
komisji,commission
mimo,despite
mocno,tightly
nadzieję,hope
najczęściej,most often
naszej,our
obrony,defense
okoliczności,circumstances
osoba,person
pamiętać,remember
pięć,five
podstawie,on the basis of
pomiędzy,between
powiedziała,she said
południu,in the afternoon
prof.,prof.
r,r
rzecz,thing
sezon,season
sprawę,the matter
sprzedaży,Sales
szczęście,luck
taką,such
trzeci,third
tydzień,week
typu,type
ubiegłym,last year
umowy,contracts
woj,voivodeship
względem,in relation to
zajmuje,It takes
znajduje,he finds
2021,2021
28,28
Donalda,Donald
Dwa,Two
Dziś,Today
III,III
Ich,Their
Jakie,What
Jeden,One
Kaczyński,Kaczynski
Krajowej,National
Miasto,City
Mimo,Despite
Muzeum,Museum
Paweł,Paul
Polacy,Poles
Ponad,Above
Poznaniu,Poznan
Przemysław,Przemyslaw
Przez,By
sprawdź,check
Ta,This
Tymczasem,Meanwhile
X,X
budynku,building
byłego,former
całym,the whole
drugiego,the second
ds.,for
dzieje,history
grupie,group
głos,voice
głosów,votes
inny,other
inwestycji,investment
km/h,km/h
linii,lines
miejscach,places
moment,moment
ostatecznie,ultimately
pieniędzy,money
pogoda,weather
Pojawił,He appeared
polskiego,Polish
pomysł,idea
portalu,portal
postaci,characters
prasowej,press release
prawdopodobnie,probably
prezydentem,the president
robić,to do
rodzaju,kind
rolę,role
rozwoju,development
samo,itself
serca,hearts
spotkaniu,meeting
stronę,page
słowa,words
twierdzi,claims
uczestników,participants
wakacje,holidays
wiemy,we know
większości,most
wsparcia,support
wzrost,growth
wątpliwości,doubts
zachowanie,behavior
zaznaczył,he pointed out
zazwyczaj,usually
zbyt,too
zmiana,Change
znany,known
zwraca,returns
środków,means
żadnych,none
żyje,is alive
26,26
27,27
Aby,To
Ja,I
Jan,Jan
Ligi,Leagues
Niestety,Unfortunately
Nowa,New
Premier,Prime minister
Rosja,Russia
Takie,Such
Wcześniej,Before
Wrocławiu,Wroclaw
bezpieczeństwo,security
całkowicie,entirely
chwilę,times
ci,you
czterech,four
granicy,border
jazdy,driving
kampanii,campaign
krajów,countries
lutym,February
marcu,March
miesiąc,month
mogło,could
nagle,suddenly
niektóre,some
nimi,them
obu,both
osobom,to persons
pasażerów,passengers
plan,plan
powinni,they should
profilu,profile
przyszłości,future
przyszłość,future
raczej,rather
rankingu,ranking
rozmowy,conversations
rundzie,round
rynek,market
sama,alone
samego,alone
samochodów,cars
serii,series
temperatury,temperatures
termin,deadline
tygodniu,week
ulic,streets
ustaleń,arrangements
wsi,the village
wydarzenia,events
wygrał,he won
wypadek,accident
zapłacić,pay
zatrzymali,They stopped
zawodników,players
zostaną,they will be
związanych,related
zwrócił,he returned
żona,wife
1000,1000
2015,2015
2016,2016
2018,2018
2020,2020
22,22
31,31
50,50
Andrzeja,Andrew
Anna,Anna
Izraela,Israel
Jeszcze,Still
Komendy,Commands
Marcin,Martin
Miasta,Cities
Może,Maybe
Pierwszy,First
Ponadto,In addition
Przypomnijmy,Let's recall
Straży,Guard
Szymon,Simon
Ukraina,Ukraine
Większość,Majority
wojciech,wojciech
Wszyscy,All
ZUS,Social Insurance Institution
agencja,agency
będę,I will
celem,the purpose
czasem,sometimes
człowieka,man
dodatkowe,additional
drogi,Dear
działalności,activities
dziećmi,children
edycji,Edit
funkcjonariuszy,officers
grupa,group
języka,language
kary,penalties
kierowcy,drivers
kolejki,queues
ktoś,someone
kwoty,amounts
miesiące,months
mogła,she could
możesz,You can
musiał,he had to
musiała,she had to
nami,us
niestety,Unfortunately
ocenił,he rated
odniósł,he succeeded
odpowiedzialności,responsibility
oferty,offers
opady,precipitation
pierwszych,the first
podał,he gave
pogody,weather
pojawiły,appeared
policję,the police
polskim,Polish
powinna,she should
prasowy,press
programie,program
prokuratury,prosecutor's office
prowadzenie,leading
przynajmniej,at least
rodzice,parents
rodzin,families
rosyjskie,Russian
spółka,company
sześć,six
sąd,court
sądu,court
tabeli,table
tą,this one
usług,services
walki,fights
warunki,conditions
współpracy,cooperation
wyłącznie,only
władz,authorities
zakaz,prohibition
znaczenie,meaning
¿e,¿e
łącznie,together
200,200
300,300
Biden,Biden
Ci,You
Daniel,Daniel
Dlaczego,Why
Harris,Harris
Komisji,Commission
MSZ,MFA
Mariusz,Mariusz
Nowy,New
RP,RP
Rodzina,Family
Rosjanie,Russians
Sejmie,In the Sejm
Toruniu,Toruń
Trudno,It's hard
Uniwersytetu,University
Urzędu,Office
WTA,WTA
Warszawa,Warsaw
Ze,That
awans,promotion
brutto,gross
czynności,activities
dotyczy,refers to
drogach,on the roads
finale,final
funkcjonariusze,officers
godzinach,hours
im.,them.
istotne,important
jakiś,some
kara,penalty
kategorii,category
kierowców,drivers
km,km
krwi,blood
listy,lists
liście,leaves
miesięcznie,monthly
minucie,in a minute
mężczyzn,men
natychmiast,immediately
nowym,new
obejmuje,includes
ochrony,protection
odbyła,took place
oni,they
podano,given
podatku,tax
podobnie,similarly
politycy,politicians
powietrza,air
powołując,invoking
pozwoli,will allow
proces,process
prokuratura,prosecutor's office
pytania,questions
rady,advice
rano,in the morning
regionie,region
rejonie,in the area
robi,does
rodziców,parents
rodzinę,family
rosyjskich,Russian
rozwiązania,solutions
rozwiązań,solutions
ryzyko,risk
rzeczy,things
rzeczywistości,reality
ręce,hands
skład,composition
spadek,decrease
stopnia,degree
styczniu,January
systemu,system
sytuację,situation
szanse,chances
taka,such
takiej,such
trudno,It's hard
woj.,voivodeship
wpływ,influence
ws.,regarding
wskazują,they indicate
wydaje,spends
Wynikiem,The result
zagranicznych,foreign
zakresie,in scope
zmienić,to change
zwierząt,animals
żony,wives
6,6
70,70
80,80
Barbara,Barbara
Górze,Up
Instytut,Institute
Jesteśmy,We are
Kamińskiego,Kaminski
Narodowego,National
Niemcy,Germany
Obywatelskiej,Civic
Okazało,It turned out
Ostatecznie,Ultimately
Paryżu,Paris
Polskiego,Polish
Polskę,Poland
Potem,Then
Putina,Putin
Tam,There
Trzeba,It's necessary to
VAT,VAT
Warszawy,Warsaw
Więcej,More
Zełenski,Zelensky
akcja,share
artykule,article
atak,attack
budynek,building
byłoby,it would be
bądź,or
ciężko,hard
czekają,They are waiting
dokumenty,documents
duży,big
działa,works
funkcji,function
gdyż,because
gra,game
gwiazdy,stars
handlu,trade
jestem,I am
jeżeli,if
kiedyś,Once
klub,club
kontroli,control
kraj,country
krajach,countries
krok,step
kupić,to buy
lecz,but
ligi,Leagues
mediów,media
mieszkanie,apartment
myśli,thinks
mówią,they say
mówiła,she said
mężczyzny,a man
najlepsze,the best
największych,the biggest
nowa,new
obowiązków,duties
oglądać,to watch
okazało,it turned out
opiekę,care
ostatniego,the last one
pamięci,memory
parafii,parish
państw,countries
pobliżu,Nearby
pochodzi,comes from
pojazdu,vehicle
polski,Polish
poniżej,below
poseł,envoy
postępowania,proceedings
potrzeb,needs
powiecie,you will say
pozycji,position
połowie,half
produkty,products
prokurator,prosecutor
przestrzeni,space
pół,half
realizacji,implementation
red.,ed.
relacji,Relationship
resort,resort
roli,role
rozwiązanie,solution
ruch,movement
siły,forces
spotkań,meetings
sprawia,makes
stacji,Station
stanowiska,positions
stać,be
stało,it happened
swoimi,their own
szereg,number
szkół,schools
słów,words
ton,tone
turystów,tourists
wcale,at all
Wie,He knows
województwa,voivodeships
wraca,is coming back
wsparcie,support
wybory,elections
wygrała,she won
wymaga,requires
wysokość,height
wzrostu,growth
zależy,depends
zamachu,assassination attempt
zaś,and
zdecydowanie,definitely
zgodnie,according
zupełnie,quite
zwycięstwo,victory
złożyć,fold
Śląska,Silesia
Świata,The world
świadczenie,provision
żadnego,none
150,150
400,400
90,90
Bo,Because
Celsjusza,Celsius
Funduszu,Fund
Gazeta,Newspaper
Gazy,Gases
Hołownia,Hołownia
IMGW,IMWM
Izrael,Israel
Jana,Jan
Jednocześnie,Simultaneously
Joanna,Joan
Kierowca,Driver
Koalicji,Coalition
Kobieta,Woman
Komisja,Committee
Lublinie,Lublin
M.,M
Maciej,Matthias
Mam,I have
Mateusz,Matthew
NFZ,National Health Fund
Nawet,Even
Nie ma,There aren't
Niemiec,German
Olsztynie,Olsztyn
Piotra,Peter
Polskiej,Polish
Prokuratury,Prosecutor's Office
Rafał,Rafal
Rosjan,Russians
Stanów,States
Ukrainę,Ukraine
Wielkiej,The Great
Wisła,Vistula
Wąsika,Mustache
banku,bank
brak,lack
budynków,buildings
całą,the whole
Chociaż,Though
choroby,diseases
cieszyć,enjoy
czasów,times
dniu,on the day
dom,house
drugie,second
działalność,activity
działo,gun
długie,long
emocji,emotions
etapie,stage
fanów,fans
gminie,in the commune
granicą,limit
grę,game
głosowania,voting
innym,another
jakości,quality
kolejce,in line
koncie,account
kontekście,in context
Kosztuje,It costs
koszty,costs
którymi,which ones
lokali,premises
miesiącu,month
mieszkaniec,inhabitant
mieszkań,apartments
mogły,they could
moich,my
momentu,moment
możliwe,That's possible
mąż,husband
najlepiej,best
najpierw,firstly
największe,the biggest
of,of
ogóle,at all
okazuje,it turns out
operacji,Operation
ostatni,last
państwo,country
pierwszą,the first
pkt,pt
placu,square
platformie,platform
polityki,politics
polityków,politicians
pomaga,it helps
pomocą,help
pomóc,help
pozbawienia,deprivation
pracownicy,employees
pracują,They are working
premiera,premiere
przecież,yet
prędkości,speed
północy,midnight
resortu,the ministry
rozmów,conversations
rzędu,in a row
rękę,hand
samolotu,plane
Siłę,Strength
sprawa,thing
stanowi,constitutes
stał,steel
stracił,he lost
strefy,zones
szansa,chance
szansę,a chance
szpitalu,hospital
takim,such
telewizji,television
trenera,the coach
tutaj,here
tuż,next door
uważa,thinks
uznał,he considered
wieczorem,In the evening
wiedzieć,know
wiem,I know
większe,bigger
wkrótce,soon
wodę,water
wprowadzenie,introduction
wspólnie,together
wybrać,to choose
wyraźnie,clearly
wzrosła,It has increased
własne,own
zagrożenia,threats
zagrożenie,danger
zakończeniu,Finished
zatem,therefore
zatrzymania,detention
zawody,competition
zdjęcie,photo
zdobyli,They got it
zginęło,died
zmianę,change
śledczych,Investigators
żołnierze,soldiers
2014,2014
35,35
37,37
Akademii,Academy
Ewa,Eve
Facebooku,Facebook
Gdańska,Gdansk
Gdańsku,Gdansk
Granicznej,Border
Krzysztofa,Christopher
Mają,Have
Małgorzata,Margaret
Michała,Michael
Minister,Minister
Należy,It is necessary
Nic,Thread
Nikt,Nobody
Nowej,New
Oni,They
Orlenu,Orlen
PAP,PAP
Pawła,Paul
Polaka,Pole
Poznań,Poznan
Prezydenta,The President
Pucharu,The Cup
Później,Later
Rada,Advice
Sejm,Sejm
Sikorski,Sikorski
Spotkanie,Meeting
Spraw,Matter
Szwecji,Sweden
Szymon Hołownia,Szymon Holownia
Sądu,Court
Tego,This
Tomasza,Thomas
Wiele,Many
Wydziału,Faculty
Wówczas,Then
Zielonej,Green
aplikacji,Application
atrakcje,attractions
badań,research
burmistrza,the mayor
cała,all
chętnie,gladly
ciała,body
czasach,in times
czekać,wait
częściowo,partly
członków,members
córka,daughter
dał,distance
dobre,Good
dokumentów,documents
doprowadził,he led
dostać,to receive
dwukrotnie,twice
działanie,action
dziennik,journal
emeryturę,retirement
emisji,Emissions
finału,the final
galerii,gallery
grudniu,December
inni,others
internecie,on the internet
inwestycje,Investments
jedyny,only
kadencji,term of office
kilkanaście,dozen
kilkoma,a few
kluczowe,key
korzystać,to use
kwestii,issues
kwotę,amount
liczne,numerous
listę,list
małe,small
mecze,matches
meczów,matches
musimy,we have to
męża,husband
młodzieży,youth
nagrania,recordings
najbliższy,nearest
najbliższych,closest ones
najważniejszych,the most important
najwięcej,most
napisano,It was written
napisała,she wrote
naszą,our
niebawem,soon
niezależnie,independently
niezbędne,necessary
obok,Near
odbył,took place
ogromne,huge
okazja,opportunity
opinii,opinions
otrzymać,to receive
otrzymała,she received
oświadczył,he declared
pana,sir
pewnym,certain
pieszych,pedestrians
podejrzanego,suspect
podjął,He took up
pojazdów,vehicles
pokazują,they show
polskie,Polish
postępowanie,procedure
potencjał,potential
powinniśmy,we should
powrót,return
powstanie,rise
pożaru,fire
pracować,work
problem,problem
problemów,problems
proc,percent
prowadził,he led
przebieg,course
przygotować,to prepare
przypomniał,he reminded
przyszłym,future
przyznaje,I admit
prądu,current
publicznej,public
publicznych,public
punkty,points
rakiet,Rockets
remont,renovation
rozpocznie,will start
sił,forces
skorzystać,take advantage
społeczności,community
sprzętu,equipment
stałe,constantly
stolicy,the capital
studia,studies
sukces,success
syn,son
system,system
szkołach,schools
trafiła,she got it
Twierdzą,Fortress
tygodnia,of the week
uczelni,college
umiejętności,skills
usługi,services
uwagi,comments
walczyć,fight
walkę,fight
wam,to you
warunków,conditions
wizyty,visits
wiąże,it binds
wojna,war
wpływu,influence
wspólnego,common
wspólnej,common
wszelkie,any
wyborczej,electoral
wyboru,choice
wydarzeń,events
wydał,he spent
wystąpić,to occur
Wziąć,To take
właściwie,actually
zajęcia,classes
zakończenie,end
zapowiedział,he announced
zarazem,at the same time
zauważa,he notices
zauważył,he noticed
zdecydował,he decided
znajdują,they find
zwłok,corpse
Łódź,Łódź
łatwo,easy
święto,holiday
"2,5",2.5
600,600
800,800
Adama,Adam
Agencja,Agency
Banku,Bank
Bezpieczeństwa,Security
białystok,Białystok
Będzie,Will be
Część,Hi
Dariusz,Darius
Dwie,Two
Dziennik,Journal
Film,Movie
Gospodarki,Economy
Grupy,Groups
Grzegorz,Gregory
Góra,Mountain
Głównego,The main
Jako,As
Jestem,I am
Kultury,Cultures
Lewicy,Leftists
Liceum,High school
MON,Ministry of National Defense
Mieszkańcy,Residents
My,We
Niemczech,Germany
Obrony,Defense
Ochrony,Protection
Oczywiście,Of course
Opolu,Opole
Oprócz,Apart from
PKP,PKP
PSL,PSL
Pan,You
Park,Park
Pod,Under
Polak,Pole
Polka,Shelf
Portal,Portal
Rosją,Russia
Sił,Forces
Szczecinie,Szczecin
TVN24,TVN24
Taka,Such
Times,Times
Trzecia,The third
Wiadomo,It is known
Wisły,Vistula
Wodnej,Water
Wojewódzkiego,Voivodeship
Wszystkie,All
Zdrowia,Health
Zobaczcie,Take a look
aborcji,abortion
akt,act
aktualnie,currently
autor,author
bezpośrednio,directly
bilety,tickets
boisku,the pitch
brzmi,sounds
budowę,construction
będziesz,you will be
ciasto,cake
daje,gives
dodatkowo,Additionally
domów,houses
dostępna,available
drogowego,road
drużyna,team
dużą,big
dziewczyna,girl
Elektrycznej,Electric
emerytura,pension
emerytury,pensions
filmie,in the film
firma,business
funkcję,function
gazu,gas
gdyby,if
gola,goal
gospodarki,economy
Gospodarzy,The hosts
głowy,heads
głowę,head
hali,hall
idzie,he goes
imprezy,events
informację,information
inicjatywy,Initiatives
internetowej,on the internet
istnieje,exists
iż,that
jaką,what
jedynym,the only one
jesienią,in autumn
karę,punishment
katastrofy,disasters
kibice,fans
kilometrów,kilometers
klientów,customers
konfliktu,conflict
kontakt,contact
kosztów,costs
kraje,countries
kultury,culture
kwietniu,April
liczy,it counts
maju,May
marki,brands
Masz,You have
miesiąca,month
międzynarodowych,international
moc,power
muzyki,music
mężczyźni,men
młodych,young
nagrody,Awards
należą,they belong
narkotyków,drugs
narzędzia,tools
nauczyciele,teachers
nauki,science
nieruchomości,real estate
obowiązki,duties
obronie,in defense
ocenia,I am evaluating
odnotowano,It was noted
odpowiada,he responds
odpowiednio,appropriately
odpowiednią,appropriate
ogromną,huge
opowiada,he tells
Organizmie,In the body
osobiście,personally
osobą,person
otwarcia,opening
październiku,October
pewne,certain
pełne,full
piłkę,the ball
planowane,planned
planuje,I'm planning
plus,plus
początek,beginning
podejrzany,suspicious
podobne,similar
podpisał,he signed
pojawia,appears
pojawić,appear
polega,it consists
polu,field
poprzednich,previous
poprzedniego,the previous one
posiada,has
powierzchni,surface
powietrzu,in the air
powstania,uprisings
pozwala,allows
pracował,he worked
prasowa,press release
prawda,True
prezydenckich,presidential
projektów,projects
prowadzenia,conducting
prowadzić,to lead
prowadzone,conducted
prywatnych,private
przedsiębiorców,entrepreneurs
przejść,to go through
przepis,recipe
przyjaciół,friends
przynieść,bring
radości,joy
rannych,wounded
raportu,report
razu,at once
realizację,implementation
regularnie,regularly
rodzinie,family
rosyjski,Russian
rozpoczął,He started
rozpoczęła,she started
rozwój,development
rośnie,is growing
rzeczywiście,actually
samej,alone
samorządowych,local government
sceny,scenes
sektora,sector
seniorów,seniors
siedem,seven
sklepów,shops
skóry,skin
skąd,from where
składzie,composition
spod,bottom
sporo,a lot
sportu,sports
straty,losses
straży,guard
syna,son
systemie,system
szczyt,peak
szuka,he is looking for
służb,services
technologii,technology
